name,what,who,address_1,address_2,suburb,phone,phone_2,free_call,email,website,twitter,social_media,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holidays,cost,tram_routes,bus_routes,nearest_train_station,category_1,category_2,category_3,category_4,category_5,category_6,longitude,latitude,geocoded_location,Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,category,Unnamed: 0,Serial No.,Estimate type,Gender,Chapter,Indicator,Indicator category,Stratified by,Sub-population,%,RSE,UL,LL,Sig.,Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1103.0,1104,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Darebin (C),70.80682,,77.47242,63.10813,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1104.0,1105,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Gippsland PHU,East Gippsland (S),80.24269,,85.6906,73.36533,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1105.0,1106,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Frankston (C),69.99813,,76.9813,61.94375,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1106.0,1107,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Gannawarra (S),85.85233,,90.403,79.63006,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1107.0,1108,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Glen Eira (C),83.34119,,88.44427,76.58127,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1108.0,1109,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Glenelg (S),74.43023,,80.74401,66.89504,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1109.0,1110,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Golden Plains (S),76.76329,,82.7632,69.44592,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1110.0,1111,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Greater Bendigo (C),74.49794,,80.35341,67.60097,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1111.0,1112,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Greater Dandenong (C),66.8262,,73.61122,59.26211,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1112.0,1113,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Greater Geelong (C),82.21857,,87.36326,75.56519,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1113.0,1114,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Greater Shepparton (C),77.01442,,83.21261,69.37013,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1114.0,1115,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Hepburn (S),81.15691,,86.81521,73.80308,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1115.0,1116,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Hindmarsh (S),75.89933,,82.11436,68.35688,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1116.0,1117,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Hobsons Bay (C),81.47979,,86.89674,74.48108,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1117.0,1118,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Horsham (RC),84.98012,,89.99107,78.07176,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1118.0,1119,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Hume (C),67.48192,,74.38733,59.72281,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1119.0,1120,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Indigo (S),84.76367,,89.59609,78.23201,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1120.0,1121,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Kingston (C),85.12799,,90.0091,78.43358,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1121.0,1122,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Knox (C),74.72165,,81.36078,66.68601,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1122.0,1123,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Gippsland PHU,Latrobe (C),72.27142,,78.67364,64.80698,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1123.0,1124,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Loddon (S),74.68711,,80.84631,67.34726,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1124.0,1125,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Macedon Ranges (S),77.87157,,83.99836,70.23031,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1125.0,1126,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Manningham (C),82.14943,,87.10038,75.82569,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1126.0,1127,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Mansfield (S),81.60093,,86.97753,74.65143,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1127.0,1128,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Maribyrnong (C),75.33501,,81.53648,67.87138,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1128.0,1129,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Maroondah (C),78.49804,,84.3359,71.22676,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1129.0,1130,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Melbourne (C),76.65669,,82.20438,70.01048,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1130.0,1131,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Melton (C),70.83922,,76.9902,63.81672,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1131.0,1132,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Merri-bek (C),74.55525,,80.82624,67.0689,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1132.0,1133,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Mildura (RC),70.88856,,77.17611,63.68396,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1133.0,1134,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Mitchell (S),73.33939,,79.78724,65.71844,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1134.0,1135,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Moira (S),72.39104,,78.46612,65.35873,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1135.0,1136,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Monash (C),80.25192,,85.39648,73.84999,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1136.0,1137,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Moonee Valley (C),80.1773,,85.89503,72.87375,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1137.0,1138,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Moorabool (S),74.00594,,80.30107,66.53741,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1138.0,1139,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Mornington Peninsula(S),81.18695,,86.78377,73.93193,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1139.0,1140,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Mount Alexander (S),80.07895,,86.05209,72.36918,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1140.0,1141,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Moyne (S),81.84374,,87.29766,74.72607,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1141.0,1142,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Murrindindi (S),74.47965,,81.05555,66.56277,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1142.0,1143,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Nillumbik (S),83.27958,,88.5084,76.30843,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1143.0,1144,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Northern Grampians (S),72.38367,,79.1505,64.40819,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1144.0,1145,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Port Phillip (C),79.39261,,85.1265,72.17089,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1145.0,1146,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Pyrenees (S),66.11287,,73.17187,58.25612,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1146.0,1147,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Queenscliffe (B),87.06658,,93.72239,75.21982,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1147.0,1148,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Gippsland PHU,South Gippsland (S),78.48716,,84.83514,70.40879,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1148.0,1149,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Southern Grampians (S),86.59613,,90.88221,80.72262,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1149.0,1150,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Stonnington (C),87.29445,,91.82189,80.78509,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1150.0,1151,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Strathbogie (S),79.2484,,84.92357,72.13783,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1151.0,1152,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Surf Coast (S),85.51604,,90.43168,78.67067,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1152.0,1153,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Swan Hill (RC),72.85749,,79.42791,65.11037,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1153.0,1154,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Towong (S),75.70664,,81.77277,68.40177,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1154.0,1155,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Wangaratta (RC),82.67154,,87.9727,75.67977,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1155.0,1156,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Warrnambool (C),75.57,,81.6965,68.19129,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1156.0,1157,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Gippsland PHU,Wellington (S),76.49618,,82.36699,69.39696,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1157.0,1158,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,West Wimmera (S),80.24581,,85.76994,73.24613,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1158.0,1159,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Whitehorse (C),83.68266,,88.3036,77.69721,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1159.0,1160,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Whittlesea (C),73.18213,,79.32228,66.00021,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1160.0,1161,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Wodonga (RC),76.21988,,82.07846,69.16561,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1161.0,1162,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Wyndham (C),73.23087,,79.16738,66.32232,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1162.0,1163,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Yarra (C),81.73571,,86.88195,75.14807,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1163.0,1164,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Yarra Ranges (S),74.66004,,81.44811,66.41248,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1164.0,1165,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Yarriambiack (S),81.46421,,86.70198,74.76388,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1165.0,1166,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1166.0,1167,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1167.0,1168,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1168.0,1169,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1169.0,1170,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1170.0,1171,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1171.0,1172,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Gippsland PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1172.0,1173,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1173.0,1174,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Victoria,76.8756,,77.85953,75.86151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1174.0,1175,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Ovens-Murray PHU,Alpine (S),10.42101,,16.66058,6.340448,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1175.0,1176,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Ararat (RC),11.37319,,17.7952,7.069477,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1176.0,1177,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Ballarat (C),16.1925,,22.58806,11.34245,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1177.0,1178,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Banyule (C),10.90908,,16.57314,7.017944,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1178.0,1179,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,Bass Coast (S),13.59419,,20.77047,8.627364,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1179.0,1180,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,Baw Baw (S),15.01794,,21.49063,10.24046,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1180.0,1181,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Bayside (C),10.76758,,17.07476,6.604625,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1181.0,1182,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Benalla (RC),14.5518,,20.82685,9.930267,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1182.0,1183,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Boroondara (C),9.113375,,14.20592,5.724595,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1183.0,1184,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Brimbank (C),15.76032,,22.09446,10.98601,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1184.0,1185,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Buloke (S),14.96837,,21.67114,10.07216,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1185.0,1186,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Campaspe (S),13.10048,,18.73822,8.971683,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1186.0,1187,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Cardinia (S),18.02362,,24.43382,13.0057,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1187.0,1188,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Casey (C),19.82216,,26.63553,14.40934,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1188.0,1189,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Central Goldfields (S),12.0791,,18.48982,7.68161,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1189.0,1190,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Colac-Otway (S),12.91591,,18.80029,8.676503,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1190.0,1191,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Corangamite (S),14.13641,,20.88739,9.310616,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1191.0,1192,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Darebin (C),18.06699,,25.00793,12.72561,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1192.0,1193,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,East Gippsland (S),11.85119,,17.84411,7.682773,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1193.0,1194,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Frankston (C),20.97862,,28.63685,14.93965,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1194.0,1195,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Gannawarra (S),9.508222,,15.06219,5.860887,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1195.0,1196,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Glen Eira (C),11.76417,,18.18118,7.406989,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1196.0,1197,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Glenelg (S),13.96107,,20.46525,9.282761,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1197.0,1198,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Golden Plains (S),14.9441,,21.50799,10.125,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,1198.0,1199,Crude,Men,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Greater Bendigo (C),16.62098,,22.80287,11.85758,--,
